account,date,daily_pnl,trades_count,win_rate,avg_trade_size,long_ratio,sentiment,frequency_segment,pnl_std,consistency_segment,profit_bucket,sentiment_encoded
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,191,0.418848167539267,124.92068062827224,0.5340314136125655,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,204,0.39215686274509803,197.00485294117647,0.7794117647058824,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,194,0.5721649484536082,289.6046907216495,0.32989690721649484,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,107,0.5046728971962616,215.33785046728974,0.24299065420560748,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,79,0.5189873417721519,174.83481012658228,0.569620253164557,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,95,0.30526315789473685,212.30473684210526,0.9052631578947369,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,48,0.3125,282.42354166666667,0.1875,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,66,0.45454545454545453,284.1157575757576,0.18181818181818182,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,84,0.3333333333333333,223.8904761904762,0.8571428571428571,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,73,0.3561643835616438,221.81794520547948,0.547945205479452,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,63,0.36507936507936506,166.3415873015873,0.5555555555555556,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,34,0.5,140.99176470588236,0.20588235294117646,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,125,0.336,455.63544,0.872,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,107,0.29906542056074764,1121.107570093458,0.5327102803738317,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,59,0.3559322033898305,263.3476271186441,0.7457627118644068,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,101,0.45544554455445546,217.69336633663366,0.24752475247524752,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,69,0.5217391304347826,217.15115942028987,0.4927536231884058,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,81,0.49382716049382713,156.68296296296296,0.3950617283950617,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,82,0.5365853658536586,101.1840243902439,0.47560975609756095,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,80,0.2625,82.075375,0.225,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,103,0.6990291262135923,103.70087378640777,0.8446601941747572,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,149,0.5704697986577181,489.99302013422823,0.7449664429530202,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,103,0.47572815533980584,728.4078640776698,0.6213592233009708,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,84,0.44047619047619047,522.1204761904762,0.40476190476190477,Neutral,Frequent,2993.2847018942703,Consistent,1,
